movieNm,startDate,endDate,salesAmt,audiCnt
2001 스페이스 오디세이,20220418,20230504,10623800.0,1283.0
3000년의 기다림,20220418,20230504,136233560.0,14214.0
65,20220418,20230504,39135477.0,4026.0
BIFAN2022 부천 초이스: 단편 1,20220418,20230504,42030000.0,8406.0
BIFAN2022 부천 초이스: 단편 2,20220418,20230504,23650000.0,4730.0
BIFAN2022 엑스라지 3,20220418,20230504,6265000.0,1253.0
BIFAN2022 엑스라지 4,20220418,20230504,11270000.0,2254.0
DC 리그 오브 슈퍼-펫,20220418,20230504,2194715801.0,232810.0
EBS 댄스파티! ,20220418,20230504,31045000.0,5177.0
TAR 타르,20220418,20230504,31080186.0,3960.0
가디언즈 오브 갤럭시: Volume 3,20220418,20230504,3779796803.0,364184.0
가재가 노래하는 곳,20220418,20230504,9332398.0,968.0
감동주의보,20220418,20230504,6858000.0,762.0
거울 속 외딴 성,20220418,20230504,304295179.0,30582.0
걸리버 리턴즈,20220418,20230504,36383992.0,3820.0
경아의 딸,20220418,20230504,11707200.0,1965.0
고고다이노 극장판: 얼음공룡의 비밀,20220418,20230504,363847402.0,39541.0
고속도로 가족,20220418,20230504,158029300.0,20085.0
곰돌이 푸: 피와 꿀,20220418,20230504,32309212.0,2905.0
공기살인,20220418,20230504,1393375350.0,148730.0
공조2: 인터내셔날,20220418,20230504,70868371007.0,6976759.0
광대: 소리꾼,20220418,20230504,18558500.0,2710.0
교섭,20220418,20230504,17341239840.0,1708806.0
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",20220418,20230504,6511472000.0,528849.0
귀멸의 칼날: 아사쿠사 편,20220418,20230504,161204600.0,15159.0
귀멸의 칼날: 장구저택 편,20220418,20230504,25470100.0,2513.0
귀못,20220418,20230504,285021400.0,33363.0
그녀가 말했다,20220418,20230504,15043000.0,2149.0
그대가 조국,20220418,20230504,3025233970.0,324300.0
그레이 맨,20220418,20230504,199381260.0,20721.0
극장판 5등분의 신부,20220418,20230504,516909000.0,47789.0
극장판 검정고무신 : 즐거운 나의 집,20220418,20230504,134961900.0,13639.0
극장판 귀멸의 칼날: 무한열차편,20220418,20230504,255791810.0,26762.0
극장판 금빛 모자이크 땡큐!!,20220418,20230504,3840000.0,768.0
극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,20220418,20230504,388044898.0,41115.0
극장판 뽀로로와 친구들: 바이러스를 없애줘!,20220418,20230504,1742000800.0,192567.0
극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,20220418,20230504,138967800.0,12300.0
극장판 엄마 까투리: 도시로 간 까투리 가족,20220418,20230504,1524141259.0,162502.0
극장판 엉덩이 탐정: 수플레 섬의 비밀,20220418,20230504,1356807140.0,145915.0
극장판 윌벤져스 : 수상한 캠핑 대소동,20220418,20230504,239772600.0,23256.0
극장판 주술회전 0,20220418,20230504,198176130.0,20893.0
극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,20220418,20230504,385047241.0,39240.0
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,20220418,20230504,8234303528.0,821482.0
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,20220418,20230504,5426757370.0,575634.0
극장판 헬로카봇: 수상한 마술단의 비밀,20220418,20230504,1991050360.0,211226.0
꼬마돼지 베이브의 바다 대모험,20220418,20230504,61810120.0,6969.0
나를 만나는 길,20220418,20230504,7414200.0,801.0
내 친한 친구의 아침식사,20220418,20230504,13878300.0,1517.0
너의 이름은.,20220418,20230504,9162600.0,988.0
네가 떨어뜨린 푸른 하늘,20220418,20230504,92083230.0,9662.0
녹턴,20220418,20230504,8133500.0,1358.0
놉,20220418,20230504,4569053975.0,404088.0
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,20220418,20230504,1212457348.0,131063.0
늑대사냥,20220418,20230504,4578201897.0,441406.0
니 부모 얼굴이 보고 싶다,20220418,20230504,3894514860.0,409810.0
니얼굴,20220418,20230504,6743800.0,921.0
다음 소희,20220418,20230504,669391866.0,70112.0
닥터 스트레인지: 대혼돈의 멀티버스,20220418,20230504,62608683890.0,5880692.0
대무가,20220418,20230504,486616164.0,52782.0
대외비,20220418,20230504,7377822358.0,746442.0
더 메뉴,20220418,20230504,164349800.0,16108.0
더 웨일,20220418,20230504,61755732.0,6436.0
더 컨트랙터,20220418,20230504,30626910.0,4174.0
더 킬러: 죽어도 되는 아이,20220418,20230504,554140840.0,54938.0
더 퍼스트 슬램덩크,20220418,20230504,47998510270.0,4603350.0
던전 앤 드래곤: 도적들의 명예,20220418,20230504,2892338873.0,290367.0
데시벨,20220418,20230504,8689532541.0,882903.0
동감,20220418,20230504,4600054509.0,471577.0
두다다쿵: 후후섬의 비밀,20220418,20230504,927751449.0,103468.0
