movieNm,startDate,endDate,salesAmt,audiCnt
007 노 타임 투 다이,20210301,20220417,11948538370.0,1222296.0
1984 최동원,20210301,20220417,41734810.0,4429.0
355,20210301,20220417,342583160.0,37910.0
500일의 썸머,20210301,20220417,11510010.0,1386.0
BIAF2021 부천국제애니메이션페스티벌 기획상영展,20210301,20220417,3234000.0,539.0
BIAF2021 한국 단편 경쟁 B,20210301,20220417,17910000.0,3582.0
BIFAN2021 판타스틱 단편 걸작선 1,20210301,20220417,100000000.0,20000.0
B컷,20210301,20220417,5760500.0,786.0
F20,20210301,20220417,100652300.0,15798.0
간이역,20210301,20220417,13464000.0,1496.0
강릉,20210301,20220417,3101781630.0,298847.0
건파우더 밀크셰이크,20210301,20220417,295142130.0,33601.0
경관의 피,20210301,20220417,6667038000.0,676346.0
고백,20210301,20220417,71810000.0,9889.0
고스트버스터즈 라이즈,20210301,20220417,1053139730.0,112585.0
고양이를 부탁해,20210301,20220417,3535070.0,389.0
고장난 론,20210301,20220417,1372560200.0,151492.0
고질라 VS. 콩,20210301,20220417,6715224700.0,697566.0
공기살인,20210301,20220417,26544000.0,3016.0
괴기맨숀,20210301,20220417,287762300.0,28392.0
괴짜들의 로맨스,20210301,20220417,3799000.0,1176.0
굴뚝마을의 푸펠,20210301,20220417,170311490.0,19648.0
귀멸의 칼날: 나타구모산 편,20210301,20220417,367073220.0,37763.0
귀멸의 칼날: 남매의 연,20210301,20220417,578123350.0,58220.0
귀멸의 칼날: 주합회의·나비저택 편,20210301,20220417,160347310.0,16818.0
귀문,20210301,20220417,774712370.0,90097.0
그래비티,20210301,20220417,124923400.0,12361.0
그레타 툰베리,20210301,20220417,1218000.0,174.0
그리스도 디 오리진,20210301,20220417,4996000.0,480.0
그린 나이트,20210301,20220417,171405190.0,18909.0
그림자꽃,20210301,20220417,9997000.0,1564.0
극장판 귀멸의 칼날: 무한열차편,20210301,20220417,12036763140.0,1251642.0
극장판 금빛 모자이크 땡큐!!,20210301,20220417,4000000.0,1000.0
극장판 도라에몽: 진구의 신공룡,20210301,20220417,527898150.0,60982.0
극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,20210301,20220417,90293400.0,11136.0
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출	,20210301,20220417,143321100.0,17252.0
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,20210301,20220417,301975100.0,27983.0
극장판 시그널,20210301,20220417,22832400.0,3960.0
극장판 안녕 자두야: 제주도의 비밀,20210301,20220417,901474150.0,102254.0
